"","Cell_Type","Arm","HR","Lower_CI","Upper_CI","coef","se","p_value"
"14","CD39+ CD3+ T Cells","Control",0.0816373735882117,0.00244811126496569,2.72236840774255,-2.50546811220703,1.78930346651549,0.161439148207951
"15","CD39+ CD3+ T Cells","Experimental",2.24639790732302,0.261233769169521,19.3171946110481,0.809328003279752,1.09780976868235,0.460988193121362
"16","CD38+ HLA-DR+ CD3+ T Cells","All",0.306702721973261,0.000256927483489198,366.121048586701,-1.18187633286623,3.61478088440144,0.743700739093193
"17","CD38+ HLA-DR+ CD3+ T Cells","Control",4.3664848352836e-06,2.69068045488939e-13,70.860104484408,-12.341552258067,8.47069638165735,0.14512460448819
"18","CD38+ HLA-DR+ CD3+ T Cells","Experimental",36.7717826283279,0.0130272467421404,103795.070779694,3.60473077464736,4.05387193282126,0.373891911088418
"19","CM CD3+ T Cells","All",3.46173402605128,0.625327289292741,19.1637286142988,1.24176962712774,0.873102640694807,0.154953888952622
"20","CM CD3+ T Cells","Control",2.99588189795963,0.19642786409824,45.692643392148,1.09723864497132,1.39017792437059,0.42994878828635
"21","CM CD3+ T Cells","Experimental",3.16845183775943,0.318553634482107,31.5145895746011,1.1532430893375,1.17206618513739,0.325144894343376
"22","Naive CD3+ T Cells","All",0.0793170855497296,0.00013292629350138,47.3284847894883,-2.53430171894898,3.26098545637837,0.437065416446016
"23","Naive CD3+ T Cells","Control",12.1994727601062,1.55944366115224e-05,9543604.51307412,2.50139273442062,6.92359103342763,0.717886065956154
"24","Naive CD3+ T Cells","Experimental",0.00261138360713918,3.82677564114975e-09,1782.00265265261,-5.94787508043242,6.85388521575115,0.385497959178902
"25","Effector CD3+ T Cells","All",0.447036637494911,0.00363651670132726,54.9541695188195,-0.805114724651494,2.45495035571539,0.742945231256373
"26","Effector CD3+ T Cells","Control",0.144694998684985,0.000489832746513802,42.7424315615002,-1.93312720928007,2.90225707939593,0.505361770162094
"27","Effector CD3+ T Cells","Experimental",5.16566951685933,0.000219308690976133,121673.890070839,1.64203471989392,5.13635203100324,0.749204176692509
"28","EM CD3+ T Cells","All",0.475896260246065,0.0878752397222158,2.5772589779796,-0.742555389162761,0.861894312868008,0.388941362976363
"29","EM CD3+ T Cells","Control",0.51354420703324,0.036246878575175,7.27587210110894,-0.666419163672987,1.352567122099,0.622219696346531
"30","EM CD3+ T Cells","Experimental",0.612286632873091,0.0579309420603912,6.47141074288505,-0.490554751745689,1.20305724942509,0.68345224608248
"31","CD103+ CD4+ T Cells","All",6.08431376260261,3.5672313980637e-12,10377480412930.2,1.8057139448297,14.3701340977427,0.900003110242323
"32","CD103+ CD4+ T Cells","Control",1.48871835554985e-35,6.8443110127877e-67,0.000323813797767254,-80.1925626690481,36.8155850477823,0.0293894212298422
"33","CD103+ CD4+ T Cells","Experimental",7783950.80011723,0.000281686156626987,215097152036760544,15.8675745821853,12.2667007140802,0.195821357080268
"34","CD152+ CD4+ T Cells","All",0.423191258860589,0.0449515161228759,3.9840890146277,-0.859931053517645,1.1440208869683,0.45224697340689
"35","CD152+ CD4+ T Cells","Control",0.0876325019697623,0.00225465416919773,3.40604581686822,-2.43460332280123,1.86746051745495,0.192336794246112
"36","CD152+ CD4+ T Cells","Experimental",2.66945919649313,0.105432501157858,67.5883842599202,0.981875903766602,1.64878551827143,0.551499520345126
"37","CD279+ CD4+ T Cells","All",4.00489473504008,0.676357066204284,23.7140744736558,1.38751729678916,0.907440875834443,0.126253462668066
"38","CD279+ CD4+ T Cells","Control",1.70650195223485,0.108270385858087,26.8970031823694,0.534445633363294,1.40694893525079,0.704048280035605
"39","CD279+ CD4+ T Cells","Experimental",9.74213711236149,0.744721114280384,127.44265429853,2.2764605096398,1.3118638933447,0.0826899629987943
"40","CD366+ CD4+ T Cells","All",0.515156423947056,0.0207036702801427,12.8183137358237,-0.66328468861726,1.63990747939463,0.685871030055557
"41","CD366+ CD4+ T Cells","Control",0.27549909426442,0.00274142067748282,27.6862838177056,-1.28917093800103,2.3521391698448,0.583633907174197
"42","CD366+ CD4+ T Cells","Experimental",1.49691694221259,0.0170677017577546,131.286588181975,0.403407621074343,2.28268225535773,0.859724196489685
"43","CD39+ CD4+ T Cells","All",1.06369320389092,0.197541901425981,5.72761132618583,0.0617470071330659,0.858970663970021,0.942693519195738
"44","CD39+ CD4+ T Cells","Control",0.247290756854882,0.00957589180473981,6.3861120899039,-1.39719048139718,1.65886524121114,0.399644242683263
